"id";"origination_date";"balance";"product";"region";"repayment_date"
107;"2012-04-14";7530;"Giga Loan";"South";""
108;"2012-02-05";5641;"Giga Loan";"North";""
109;"2012-05-23";9731;"Giga Loan";"East";"2012-10-12"
110;"2012-02-02";9511;"Super Loan";"West";"2012-07-11"
111;"2012-03-23";3856;"Super Loan";"South";""
112;"2012-08-03";9318;"Super Loan";"South";"2012-12-06"
113;"2012-11-15";6259;"Super Loan";"North";""
114;"2012-08-03";9985;"Giga Loan";"East";""
115;"2012-05-17";5492;"Super Loan";"West";"2012-11-20"
116;"2012-10-13";9318;"Giga Loan";"West";""
117;"2012-12-20";7526;"Mega Loan";"East";""
118;"2012-02-09";7815;"Giga Loan";"North";""
119;"2012-09-25";9393;"Giga Loan";"West";"2012-12-27"
120;"2012-10-01";4274;"Mega Loan";"West";""
121;"2012-08-01";3210;"Super Loan";"South";""
122;"2012-10-22";4988;"Giga Loan";"East";""
123;"2012-03-11";1130;"Giga Loan";"South";"2012-12-02"
124;"2012-11-15";6939;"Mega Loan";"North";""
125;"2012-07-16";5823;"Super Loan";"South";""
126;"2012-01-25";4666;"Mega Loan";"South";"2012-10-11"
127;"2012-04-23";8136;"Super Loan";"North";""
128;"2012-08-06";5416;"Mega Loan";"West";""
129;"2012-08-17";6054;"Giga Loan";"North";""
130;"2012-07-23";4958;"Super Loan";"North";"2012-12-31"
131;"2012-01-02";6399;"Super Loan";"West";""
132;"2012-03-30";3735;"Giga Loan";"South";"2012-12-23"
133;"2012-02-25";8315;"Mega Loan";"North";""
134;"2012-07-02";6509;"Giga Loan";"East";"2012-12-10"
135;"2012-04-20";5977;"Giga Loan";"South";""
136;"2012-11-26";9094;"Giga Loan";"North";"2012-12-27"
137;"2012-09-01";9931;"Mega Loan";"West";""
138;"2012-09-29";3506;"Mega Loan";"East";""
139;"2012-08-11";4735;"Super Loan";"East";""
140;"2012-06-11";9661;"Super Loan";"South";""
141;"2012-07-31";3016;"Giga Loan";"East";""
142;"2012-11-29";7591;"Mega Loan";"North";""
143;"2012-02-28";8979;"Super Loan";"East";""
144;"2012-01-25";8275;"Giga Loan";"West";""
145;"2012-09-10";7576;"Super Loan";"West";"2012-11-19"
146;"2012-10-12";4470;"Mega Loan";"South";"2012-12-07"
147;"2012-12-18";7593;"Mega Loan";"North";""
148;"2012-08-30";5101;"Super Loan";"South";""
149;"2012-05-17";2285;"Giga Loan";"West";""
150;"2012-12-29";6985;"Giga Loan";"North";""
151;"2012-05-31";8376;"Mega Loan";"South";""
152;"2012-07-22";4495;"Giga Loan";"South";""
153;"2012-08-10";1973;"Mega Loan";"West";""
154;"2012-12-09";8506;"Giga Loan";"East";""
155;"2012-12-01";1434;"Giga Loan";"North";""
156;"2012-05-14";6796;"Super Loan";"South";""
157;"2012-11-20";3171;"Mega Loan";"North";""
158;"2012-05-20";8571;"Mega Loan";"East";""
159;"2012-10-14";2212;"Giga Loan";"West";""
160;"2012-10-29";8226;"Giga Loan";"South";"2012-11-28"
161;"2012-01-28";3529;"Mega Loan";"West";"2012-08-20"
162;"2012-03-03";7611;"Mega Loan";"West";""
163;"2012-08-19";1961;"Super Loan";"South";"2012-12-09"
164;"2012-02-24";1843;"Giga Loan";"East";""
165;"2012-12-29";4120;"Mega Loan";"South";""
166;"2012-09-05";6938;"Giga Loan";"East";""
167;"2012-01-15";9938;"Giga Loan";"South";"2012-04-05"
168;"2012-06-27";4050;"Giga Loan";"West";""
169;"2012-07-13";9444;"Giga Loan";"North";"2012-09-24"
170;"2012-11-11";4672;"Super Loan";"North";""
171;"2012-10-22";3711;"Super Loan";"South";""
172;"2012-12-11";2460;"Giga Loan";"West";"2012-12-25"
173;"2012-07-04";2263;"Mega Loan";"South";""
174;"2012-09-26";2689;"Giga Loan";"East";""
175;"2012-10-10";9736;"Giga Loan";"North";""
176;"2012-10-08";8840;"Giga Loan";"West";""
177;"2012-03-03";6160;"Super Loan";"North";"2012-12-12"
178;"2012-11-18";7328;"Super Loan";"East";""
179;"2012-10-08";3940;"Mega Loan";"South";""
180;"2012-10-21";7446;"Super Loan";"East";""
181;"2012-03-04";4312;"Giga Loan";"South";"2012-07-27"
182;"2012-03-02";2316;"Giga Loan";"South";"2012-05-04"
183;"2012-09-17";1940;"Super Loan";"East";"2012-11-25"
184;"2012-11-08";5286;"Giga Loan";"South";""
185;"2012-01-30";9822;"Giga Loan";"East";"2012-09-26"
186;"2012-09-08";2375;"Mega Loan";"South";"2012-12-18"
187;"2012-12-10";2081;"Mega Loan";"South";""
188;"2012-07-30";2993;"Super Loan";"West";""
189;"2012-12-15";9946;"Giga Loan";"East";""
190;"2012-09-26";3293;"Mega Loan";"West";""
191;"2012-11-16";1218;"Mega Loan";"South";"2012-12-09"
192;"2012-07-30";3475;"Giga Loan";"South";""
193;"2012-06-11";9905;"Mega Loan";"West";"2012-09-12"
194;"2012-11-04";2179;"Super Loan";"South";""
195;"2012-06-28";4318;"Super Loan";"North";"2012-10-26"
196;"2012-12-21";4024;"Giga Loan";"South";""
197;"2012-02-16";8117;"Giga Loan";"East";""
198;"2012-11-13";4255;"Mega Loan";"West";""
199;"2012-10-15";7074;"Super Loan";"South";"2012-12-10"
200;"2012-01-29";7561;"Mega Loan";"West";"2012-11-16"
201;"2012-06-08";7927;"Giga Loan";"East";""
202;"2012-10-02";9786;"Mega Loan";"South";"2012-11-05"
203;"2012-05-22";9021;"Super Loan";"West";""
204;"2012-10-27";9191;"Super Loan";"North";""
205;"2012-08-23";2474;"Giga Loan";"North";""
206;"2012-01-28";8756;"Mega Loan";"North";""
207;"2012-01-23";8030;"Super Loan";"East";"2012-09-02"
208;"2012-07-24";7635;"Giga Loan";"South";""
209;"2012-02-10";6083;"Mega Loan";"South";"2012-06-20"
210;"2012-09-17";1970;"Giga Loan";"North";"2012-11-19"
211;"2012-01-19";5080;"Mega Loan";"North";"2012-09-12"
212;"2012-04-04";9396;"Giga Loan";"South";""
213;"2012-10-26";3286;"Giga Loan";"North";""
214;"2012-01-06";6021;"Mega Loan";"West";""
215;"2012-11-05";4681;"Giga Loan";"South";""
216;"2012-06-23";3108;"Giga Loan";"South";""
217;"2012-11-06";7397;"Mega Loan";"West";""
218;"2012-08-27";5762;"Mega Loan";"South";""
219;"2012-07-21";5101;"Super Loan";"South";""
220;"2012-07-31";7343;"Super Loan";"South";""
221;"2012-01-12";8056;"Mega Loan";"South";"2012-08-30"
222;"2012-09-17";5320;"Giga Loan";"South";""
223;"2012-04-21";9818;"Super Loan";"East";""
224;"2012-08-04";7960;"Giga Loan";"South";""
225;"2012-09-04";6500;"Mega Loan";"East";""
226;"2012-01-05";4135;"Super Loan";"South";"2012-09-23"
227;"2012-12-26";1984;"Giga Loan";"South";""
228;"2012-11-25";4617;"Mega Loan";"North";""
229;"2012-05-23";7390;"Super Loan";"West";"2012-12-12"
230;"2012-05-30";8059;"Super Loan";"South";""
231;"2012-12-31";2177;"Mega Loan";"North";""
232;"2012-07-07";5317;"Mega Loan";"East";"2012-12-04"
233;"2012-02-10";7844;"Mega Loan";"East";""
234;"2012-01-31";1197;"Super Loan";"East";"2012-09-09"
235;"2012-08-22";4508;"Giga Loan";"West";""
236;"2012-11-09";9319;"Giga Loan";"South";""
237;"2012-04-25";8954;"Mega Loan";"West";"2012-09-14"
238;"2012-10-03";2537;"Giga Loan";"East";""
239;"2012-11-04";6953;"Super Loan";"East";""
240;"2012-01-12";5036;"Giga Loan";"West";""
241;"2012-08-25";3507;"Super Loan";"West";""
242;"2012-03-29";2032;"Super Loan";"West";""
243;"2012-04-22";4432;"Mega Loan";"South";""
244;"2012-06-08";5794;"Mega Loan";"North";"2012-10-30"
245;"2012-01-20";7054;"Giga Loan";"West";"2012-11-07"
246;"2012-12-07";8113;"Super Loan";"South";""
247;"2012-09-23";7902;"Mega Loan";"West";""
248;"2012-11-22";4450;"Super Loan";"North";""
249;"2012-08-13";3875;"Super Loan";"East";"2012-12-28"
250;"2012-07-01";3003;"Giga Loan";"South";""
251;"2012-08-20";1792;"Giga Loan";"West";"2012-10-06"
252;"2012-12-03";1931;"Super Loan";"North";""
253;"2012-12-04";7323;"Giga Loan";"East";""
254;"2012-07-24";1609;"Giga Loan";"East";""
255;"2012-01-10";8892;"Mega Loan";"North";"2012-08-07"
256;"2012-04-14";3823;"Giga Loan";"North";"2012-10-06"
257;"2012-08-18";4744;"Giga Loan";"East";"2012-10-28"
258;"2012-04-20";9876;"Mega Loan";"West";"2012-12-14"
259;"2012-08-31";7440;"Super Loan";"South";""
260;"2012-08-19";2134;"Mega Loan";"East";""
261;"2012-07-30";7934;"Giga Loan";"South";""
262;"2012-10-06";8618;"Super Loan";"North";""
263;"2012-01-06";6452;"Super Loan";"West";""
264;"2012-02-22";5777;"Giga Loan";"North";"2012-09-05"
265;"2012-08-18";8816;"Giga Loan";"South";""
266;"2012-11-18";9960;"Giga Loan";"North";""
267;"2012-12-29";5095;"Super Loan";"West";""
268;"2012-03-17";7769;"Super Loan";"South";"2012-12-08"
269;"2012-06-25";2497;"Giga Loan";"West";""
270;"2012-09-08";2048;"Super Loan";"South";""
271;"2012-05-11";2805;"Super Loan";"South";"2012-12-24"
272;"2012-03-04";5004;"Mega Loan";"West";"2012-12-27"
273;"2012-06-28";3080;"Giga Loan";"South";""
274;"2012-12-02";6237;"Super Loan";"South";""
275;"2012-03-17";9798;"Mega Loan";"East";""
276;"2012-11-13";9135;"Giga Loan";"West";""
277;"2012-02-12";4349;"Giga Loan";"East";"2012-09-03"
278;"2012-02-02";7700;"Mega Loan";"East";""
279;"2012-04-15";3584;"Mega Loan";"North";""
280;"2012-10-02";7225;"Giga Loan";"North";""
281;"2012-11-12";9703;"Super Loan";"East";""
282;"2012-03-07";4376;"Giga Loan";"East";"2012-11-19"
283;"2012-06-08";8156;"Super Loan";"South";"2012-08-26"
284;"2012-10-11";7026;"Super Loan";"North";""
285;"2012-02-27";4986;"Super Loan";"West";"2012-07-19"
286;"2012-06-02";7047;"Giga Loan";"West";""
287;"2012-06-07";9849;"Giga Loan";"South";"2012-10-07"
288;"2012-07-02";8731;"Giga Loan";"East";"2012-12-17"
289;"2012-01-24";6922;"Giga Loan";"West";"2012-06-15"
290;"2012-01-29";7289;"Mega Loan";"East";""
291;"2012-12-20";9866;"Giga Loan";"North";""
292;"2012-01-20";4856;"Mega Loan";"West";""
293;"2012-07-29";5906;"Super Loan";"South";""
294;"2012-03-17";6317;"Giga Loan";"East";"2012-11-21"
295;"2012-05-13";9633;"Giga Loan";"East";"2012-12-22"
296;"2012-10-11";4721;"Super Loan";"South";""
297;"2012-08-04";6277;"Giga Loan";"South";"2012-12-25"
298;"2012-02-02";4728;"Super Loan";"South";""
299;"2012-05-05";2490;"Mega Loan";"East";"2012-11-29"
300;"2012-12-10";7774;"Mega Loan";"South";""
301;"2012-04-30";5776;"Giga Loan";"East";""
302;"2012-01-05";4295;"Super Loan";"East";""
303;"2012-12-13";2778;"Mega Loan";"South";""
304;"2012-09-05";7857;"Super Loan";"East";""
305;"2012-12-04";9532;"Giga Loan";"East";""
306;"2012-04-12";2576;"Giga Loan";"North";""
307;"2012-09-11";6991;"Super Loan";"South";""
308;"2012-12-23";3881;"Super Loan";"North";""
309;"2012-06-19";9276;"Super Loan";"West";"2012-07-24"
310;"2012-02-17";9575;"Mega Loan";"West";"2012-11-06"
311;"2012-02-22";1105;"Super Loan";"East";"2012-12-01"
312;"2012-01-21";8979;"Super Loan";"East";""
313;"2012-11-09";3951;"Super Loan";"East";""
314;"2012-10-04";8262;"Giga Loan";"North";""
315;"2012-01-03";6004;"Super Loan";"West";"2012-09-12"
316;"2012-09-11";7937;"Giga Loan";"South";"2012-10-17"
317;"2012-01-22";5308;"Mega Loan";"East";"2012-09-20"
318;"2012-02-02";5853;"Super Loan";"South";"2012-02-03"
319;"2012-03-18";6668;"Mega Loan";"East";"2012-10-24"
320;"2012-01-07";2230;"Giga Loan";"East";""
321;"2012-07-08";3141;"Mega Loan";"East";""
322;"2012-01-13";6533;"Giga Loan";"South";""
323;"2012-08-15";6086;"Giga Loan";"South";""
324;"2012-06-23";8048;"Mega Loan";"North";""
325;"2012-03-11";2850;"Giga Loan";"North";"2012-09-05"
326;"2012-11-29";5719;"Giga Loan";"North";""
327;"2012-07-04";2769;"Giga Loan";"North";"2012-12-25"
328;"2012-01-24";8127;"Mega Loan";"North";""
329;"2012-02-09";9447;"Mega Loan";"North";"2012-11-02"
330;"2012-07-24";4259;"Mega Loan";"West";""
331;"2012-07-08";5901;"Mega Loan";"West";""
332;"2012-06-09";5222;"Mega Loan";"South";""
333;"2012-12-16";7555;"Mega Loan";"East";""
334;"2012-07-30";7680;"Super Loan";"West";""
335;"2012-04-15";3078;"Super Loan";"East";"2012-09-16"
336;"2012-04-22";7086;"Super Loan";"North";"2012-11-11"
337;"2012-11-20";9256;"Super Loan";"East";""
338;"2012-01-06";9070;"Super Loan";"North";"2012-07-07"
339;"2012-05-05";9967;"Mega Loan";"East";"2012-08-30"
340;"2012-08-05";8531;"Super Loan";"East";""
341;"2012-02-03";8644;"Mega Loan";"East";""
342;"2012-11-11";1072;"Mega Loan";"North";""
343;"2012-06-21";7509;"Super Loan";"North";"2012-12-16"
344;"2012-12-16";2595;"Super Loan";"West";""
345;"2012-09-28";8334;"Mega Loan";"South";""
346;"2012-09-06";3513;"Giga Loan";"East";""
347;"2012-10-09";9533;"Mega Loan";"West";""
348;"2012-10-30";3641;"Mega Loan";"North";""
349;"2012-08-23";8366;"Mega Loan";"North";""
350;"2012-11-25";6200;"Super Loan";"East";""
351;"2012-12-31";4872;"Giga Loan";"West";""
352;"2012-09-25";1507;"Mega Loan";"South";""
353;"2012-07-16";2733;"Giga Loan";"East";""
354;"2012-05-23";9959;"Giga Loan";"South";"2012-12-05"
355;"2012-03-26";8556;"Giga Loan";"North";"2012-12-27"
356;"2012-05-31";4583;"Super Loan";"South";""
357;"2012-06-28";5677;"Super Loan";"North";""
358;"2012-11-30";1325;"Giga Loan";"South";""
359;"2012-03-13";2710;"Giga Loan";"West";"2012-11-23"
360;"2012-07-14";5123;"Super Loan";"East";"2012-12-21"
361;"2012-05-22";4585;"Giga Loan";"South";""
362;"2012-03-12";7611;"Mega Loan";"North";""
363;"2012-05-02";9346;"Mega Loan";"East";""
364;"2012-11-22";2139;"Mega Loan";"North";""
365;"2012-06-06";5290;"Super Loan";"North";""
366;"2012-11-27";2424;"Giga Loan";"West";""
367;"2012-12-29";8225;"Giga Loan";"South";""
368;"2012-04-24";4546;"Mega Loan";"West";"2012-09-05"
369;"2012-05-20";1493;"Super Loan";"North";"2012-10-25"
370;"2012-05-31";8192;"Mega Loan";"North";"2012-10-09"
371;"2012-09-08";3076;"Giga Loan";"South";"2012-12-11"
372;"2012-12-07";9138;"Mega Loan";"South";""
373;"2012-02-06";8265;"Mega Loan";"South";"2012-11-11"
374;"2012-02-19";9586;"Giga Loan";"North";""
375;"2012-09-20";1732;"Super Loan";"West";"2012-11-27"
376;"2012-03-24";6598;"Super Loan";"East";"2012-04-23"
377;"2012-11-19";3099;"Mega Loan";"South";""
378;"2012-04-08";1265;"Super Loan";"North";"2012-06-04"
379;"2012-06-11";9240;"Super Loan";"South";""
380;"2012-03-12";1465;"Mega Loan";"North";"2012-11-23"
381;"2012-12-12";6465;"Mega Loan";"West";""
382;"2012-04-19";4111;"Mega Loan";"South";""
383;"2012-09-26";1972;"Mega Loan";"North";""
384;"2012-06-22";8198;"Mega Loan";"East";""
385;"2012-04-23";4069;"Super Loan";"East";"2012-12-03"
386;"2012-09-24";9529;"Super Loan";"South";""
387;"2012-09-17";2781;"Giga Loan";"East";""
388;"2012-03-04";8747;"Super Loan";"West";"2012-11-03"
389;"2012-07-06";9854;"Giga Loan";"East";"2012-08-29"
390;"2012-02-07";4491;"Giga Loan";"East";""
391;"2012-12-21";3869;"Giga Loan";"East";""
392;"2012-05-03";4438;"Giga Loan";"North";"2012-11-26"
393;"2012-09-30";2102;"Super Loan";"West";""
394;"2012-01-27";3215;"Giga Loan";"North";"2012-03-30"
395;"2012-10-05";5577;"Mega Loan";"South";""
396;"2012-01-22";6392;"Super Loan";"East";"2012-09-22"
397;"2012-05-12";4639;"Mega Loan";"North";""
398;"2012-08-25";3802;"Super Loan";"East";""
399;"2012-12-17";9938;"Super Loan";"East";""
400;"2012-03-20";5133;"Mega Loan";"South";""
401;"2012-01-05";1994;"Mega Loan";"West";"2012-12-13"
402;"2012-04-08";3014;"Giga Loan";"North";""
403;"2012-08-12";4270;"Mega Loan";"South";""
404;"2012-07-12";9259;"Mega Loan";"South";""
405;"2012-09-28";2600;"Giga Loan";"East";""
406;"2012-05-10";5003;"Super Loan";"West";""
407;"2012-12-14";5856;"Giga Loan";"North";"2012-12-26"
408;"2012-07-27";4699;"Mega Loan";"North";"2012-11-14"
409;"2012-04-18";5268;"Giga Loan";"North";""
410;"2012-11-20";5096;"Mega Loan";"West";""
411;"2012-11-25";5165;"Giga Loan";"East";""
412;"2012-10-06";1732;"Giga Loan";"North";""
413;"2012-04-19";8208;"Super Loan";"West";"2012-08-02"
414;"2012-05-12";6137;"Super Loan";"West";"2012-07-11"
415;"2012-07-14";8931;"Giga Loan";"South";""
416;"2012-07-12";2277;"Mega Loan";"East";""
417;"2012-07-11";5666;"Super Loan";"South";""
418;"2012-04-06";1712;"Giga Loan";"North";""
419;"2012-03-26";1023;"Mega Loan";"South";"2012-11-02"
420;"2012-04-06";5519;"Giga Loan";"North";"2012-12-24"
421;"2012-06-01";5203;"Mega Loan";"West";""
422;"2012-09-08";3892;"Giga Loan";"East";""
423;"2012-04-22";8957;"Giga Loan";"East";""
424;"2012-01-26";6305;"Giga Loan";"West";"2012-08-17"
425;"2012-11-22";6108;"Mega Loan";"South";""
426;"2012-08-28";4534;"Giga Loan";"North";"2012-12-05"
427;"2012-11-24";2697;"Giga Loan";"East";""
428;"2012-01-22";9747;"Mega Loan";"North";""
429;"2012-10-31";7337;"Super Loan";"South";""
430;"2012-06-15";2635;"Super Loan";"North";""
431;"2012-12-29";4879;"Giga Loan";"West";""
432;"2012-11-28";8331;"Mega Loan";"South";""
433;"2012-10-10";4650;"Giga Loan";"East";""
434;"2012-08-28";8150;"Giga Loan";"South";""
435;"2012-12-17";7590;"Mega Loan";"South";"2012-12-30"
436;"2012-12-23";6251;"Giga Loan";"North";""
437;"2012-07-13";3152;"Giga Loan";"South";""
438;"2012-09-28";3446;"Mega Loan";"West";""
439;"2012-12-01";9951;"Giga Loan";"East";""
440;"2012-06-10";7420;"Mega Loan";"North";""
441;"2012-10-05";7542;"Giga Loan";"North";""
442;"2012-08-09";5115;"Mega Loan";"North";""
443;"2012-07-07";8153;"Giga Loan";"East";""
444;"2012-11-08";5749;"Mega Loan";"North";""
445;"2012-01-29";1251;"Super Loan";"North";""
446;"2012-09-17";7084;"Super Loan";"East";""
447;"2012-04-15";7026;"Super Loan";"West";"2012-09-23"
448;"2012-08-03";5917;"Mega Loan";"West";""
449;"2012-10-15";7796;"Super Loan";"South";""
450;"2012-01-26";7049;"Mega Loan";"South";"2012-10-07"
451;"2012-02-28";1436;"Super Loan";"East";""
452;"2012-02-15";2999;"Mega Loan";"West";"2012-09-23"
453;"2012-09-16";9942;"Mega Loan";"North";"2012-12-17"
454;"2012-07-12";9394;"Super Loan";"West";"2012-10-28"
455;"2012-09-03";8305;"Mega Loan";"North";"2012-12-28"
456;"2012-06-08";6049;"Super Loan";"North";""
457;"2012-01-24";3927;"Super Loan";"North";""
458;"2012-02-04";1001;"Giga Loan";"West";"2012-08-13"
459;"2012-09-12";5796;"Super Loan";"East";"2012-12-25"
460;"2012-12-03";1263;"Super Loan";"North";""
461;"2012-04-02";2637;"Mega Loan";"North";""
462;"2012-11-04";9676;"Giga Loan";"East";""
463;"2012-04-02";8595;"Mega Loan";"North";""
464;"2012-08-06";6287;"Mega Loan";"South";""
465;"2012-09-03";7825;"Giga Loan";"East";"2012-11-21"
466;"2012-10-15";6184;"Mega Loan";"West";""
467;"2012-09-16";2537;"Giga Loan";"West";"2012-12-22"
468;"2012-07-09";9977;"Mega Loan";"East";"2012-09-20"
469;"2012-10-11";8630;"Mega Loan";"North";""
470;"2012-01-17";2488;"Mega Loan";"South";""
471;"2012-01-06";7397;"Mega Loan";"South";""
472;"2012-11-19";6171;"Mega Loan";"East";""
473;"2012-07-08";6603;"Giga Loan";"North";""
474;"2012-08-26";5549;"Mega Loan";"East";""
475;"2012-12-03";1920;"Super Loan";"South";""
476;"2012-12-27";6855;"Giga Loan";"South";""
477;"2012-03-17";2633;"Super Loan";"West";""
478;"2012-09-16";7947;"Giga Loan";"South";"2012-11-03"
479;"2012-04-04";2772;"Giga Loan";"West";""
480;"2012-07-01";9429;"Mega Loan";"West";"2012-12-18"
481;"2012-12-20";4995;"Super Loan";"South";""
482;"2012-10-04";3208;"Super Loan";"East";""
483;"2012-03-13";2427;"Giga Loan";"West";""
484;"2012-02-05";4937;"Mega Loan";"North";"2012-12-22"
485;"2012-04-29";2601;"Super Loan";"East";""
486;"2012-06-03";9732;"Mega Loan";"East";""
487;"2012-08-13";9987;"Mega Loan";"East";""
488;"2012-05-31";5529;"Super Loan";"West";""
489;"2012-04-13";9734;"Super Loan";"East";""
490;"2012-05-06";5782;"Giga Loan";"North";""
491;"2012-08-21";5793;"Mega Loan";"North";""
492;"2012-05-16";2371;"Super Loan";"South";""
493;"2012-02-29";5458;"Mega Loan";"West";""
494;"2012-04-21";4387;"Giga Loan";"East";""
495;"2012-05-21";7658;"Super Loan";"South";"2012-11-17"
496;"2012-05-06";3282;"Giga Loan";"South";""
497;"2012-02-02";9572;"Super Loan";"East";""
498;"2012-01-12";9196;"Mega Loan";"West";""
499;"2012-05-19";3259;"Mega Loan";"North";""
500;"2012-04-03";2615;"Giga Loan";"West";"2012-10-12"
